Nota,Parcela,Valor,DataEntrada
885523,0,588968.814927856,2024-02-14
885528,0,525959.972055419,2024-01-07
885532,0,227605.407167309,2024-01-17
885533,0,486270.971853234,2024-02-16
885534,0,588344.545924929,2024-01-11
885537,0,657806.19565976,2024-02-15
885541,0,475348.439107715,2024-02-18
885545,0,281844.68584568,2023-07-23
885549,0,552132.162793542,2023-09-23
885552,0,210457.526343499,2023-02-20
885554,0,312666.605791193,2023-05-10
885556,0,293448.902641287,2024-04-20
885563,0,501970.074508958,2023-09-29
885572,0,611800.853669399,2024-05-16
885574,0,295486.920759891,2023-06-18
885581,0,620219.040806631,2024-04-14
885591,0,603642.044362901,2024-02-28
885603,0,675896.158800955,2023-04-27
885604,0,216993.449233344,2024-06-10
885607,0,678461.863986329,2023-08-18
885608,0,508175.881210932,2023-04-29
885612,0,591562.481153915,2024-04-23
885616,0,685216.195291735,2024-01-12
885618,0,548529.704416864,2024-02-29
885621,0,482797.412112743,2023-04-26
885625,0,593134.965984988,2024-04-21
885629,0,602541.548766836,2023-09-27
885630,0,555489.317412063,2024-01-16
885631,0,576847.870737721,2024-07-04
885634,0,556641.477370217,2023-10-16
885635,0,639495.249814299,2023-09-11
885636,0,585744.127240928,2023-10-27
885643,0,463620.617800187,2023-08-13
885644,0,245375.028990399,2024-02-11
885648,0,264645.241716131,2024-02-21
885657,0,236807.131372896,2023-10-23
885668,0,638739.884826074,2023-03-15
885679,0,432588.415934592,2023-06-01
885682,0,528657.340108423,2024-05-15
885686,0,636373.833994663,2023-07-29
885689,0,235390.418648014,2023-11-21
885707,0,650583.818416124,2023-09-06
885709,0,464109.242450438,2023-12-27
885715,0,233998.135103508,2023-02-06
885718,0,538911.978126374,2024-06-05
885733,0,561237.270576226,2023-12-31
885740,0,461808.241594963,2023-07-29
885742,0,268542.527664439,2023-03-29
885745,0,665701.350005597,2023-08-02
885747,0,599601.717535648,2023-12-31
885748,0,255989.38114711,2023-04-19
885750,0,610400.98066027,2023-10-01
885756,0,453682.137510984,2024-02-02
885757,0,595379.374324825,2023-04-02
885761,0,566692.424111065,2023-09-04
885762,0,288514.294861204,2024-06-24
885785,0,639758.231809664,2023-03-17
885786,0,254905.85877402,2024-02-20
885791,0,606598.469494409,2023-02-27
885795,0,259532.286455362,2024-03-05
885799,0,610075.081572898,2023-05-01
885801,0,641891.308142335,2024-05-05
885804,0,509005.224231035,2023-12-08
885806,0,290123.286210089,2023-10-13
885813,0,648581.043095111,2023-12-25
885822,0,250781.242112319,2024-04-30
885826,0,458895.721307811,2024-06-19
885829,0,461850.725353249,2023-10-08
885833,0,628905.969383829,2023-10-17
885837,0,667633.410064998,2024-01-01
